Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours)
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:28.600479,225764.89543306068,0.014907378255809086,186.7319494615146,2246.1729564677885,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:29.600479,225507.32034607208,0.06781215606899774,186.62909089087438,2240.328980769342,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:30.600479,225247.43565364,0.12079576610762854,186.52568511884235,2234.4917080832183,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:31.600479,224985.2204418069,0.17385834130060887,186.4217282488036,2228.661196537419,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:32.600479,224720.6536806307,0.2269999909454512,186.31721639052702,2222.8375067690226,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:33.600479,224453.7141357471,0.2802208184090477,186.21214562528755,2217.0206999529755,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:34.600479,224184.38036771287,0.3335209207947096,186.10651200612807,2211.2108378250996,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:35.600479,223912.63072958,0.3869003889058177,186.00031155739657,2205.40798267206,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:36.600479,223638.44336607258,0.4403593069472113,185.8935402749431,2199.6121973497998,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:37.600479,223361.79621156916,0.49389775241664985,185.7861941258271,2193.8235452806935,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:38.600479,223082.66698867537,0.5475157958863958,185.67826904826097,2188.0420904624702,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:39.600479,222801.0332064637,0.6012135008644044,185.56976095143344,2182.2678974680302,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:40.600479,222516.87215933626,0.6549909235040507,185.460665715559,2176.5010314612814,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:41.600479,222230.16092512142,0.7088481124991362,185.35097919165085,2170.741558192469,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:42.600479,221940.8763639531,0.762785108775956,185.24069720156928,2164.9895440151613,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:43.600479,221648.9951161432,0.816801945433861,185.12981553771445,2159.245055875985,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:44.600479,221354.49360130087,0.870898647385083,185.01832996316185,2153.50816133622,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:45.600479,221057.34801650772,0.9250752312333981,184.9062362114691,2147.7789285674385,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:46.600479,220757.5343349052,0.9793317050130528,184.79352998660778,2142.05742636162,301.23893272388887
STARLINK-1029,44734,0,unknown,2025-07-16T16:03:47.600479,220455.02830450897,1.0336680679508685,184.6802069630118,2136.3437241383913,301.23893272388887
